리뷰,평점,긍정부정,리뷰길이
후기가 조아서 써보려 합니다 효과가 있었음 좋겠어여,3,n,27
배송 빠르고 좋아요 ……,3,y,11
늘 쓰는 제품이라 거품 향도 좋아요,3,y,24
저렴해서 샀는데 가격 대비 나쁘지는 않지만 생각보다 거품이 많이 나지는 않는 것 같아요,3,y,42
뚜렷하게 달라진 점은 느끼지 못했지만 괜찮은 것 같아요,3,y,31
부들 대기보다 뭔가 미끈대고 세정력이 별로에 요지성이라 안 맞는 거 같아요,3,n,37
상품은 맘에 드는데 포장배송이 별로입니다 파손은 아니지만 샴푸가 내용물이 흘러서 지저분함,3,y,54
대량 구매과감한 선택쓸만해야 할 텐데 걱정임버리지 말고 알뜰히 다 허야지 뾰루지만 안나도 성공,3,n,51
처음엔 잘 몰랐는데 샴푸 바꾸고 머리에 뭔가 납니다 두피에 계속 뭐가 나는 거 같아서 저랑은 잘 안 맞네 요 세정력은 좋지만 재구매 의사는 없음,3,n,80
살짝 미끌거리긴 한데 거품 잘 나고 향이 좋아요,3,y,22
행사 때가지를 샀는데가지만 오는 바람에 문의 드렸는데 일 처리가 늦더라구요 확인하셔야 하는 건 이해하지만 구매자 입장에선 안 온 걸 안 왔다 하는데 의심하시는 건가 싶어 기분이 나빴어요 바쁘셔도 정확하게 배송해 주시면 좋겠어요,3,n,97
잘 쓸게요 잘 쓸 게 료 잘 쓸게요 잘 쓸게요,3,y,16
상품도 좋고 배송도 빨라요 사은품도 좋아요,3,y,23
항상 사용하는 제품이에요 다 사용 할 즈음 재구매 의사 있어요,3,y,34
좋을 거 같아요 잘 쓸게요,3,y,12
저렴해 요향기가 좋아요,3,y,15
배송은 늦네요 항상 미장센만 애용하는 광팬이네요 향도 은은하고 거품과 세정력이 뛰어나네요,3,y,47
머리를 감고 나니 향기가 넘 좋아요,3,y,17
항상 쓰는 제품이네요 만족합니다,3,y,19
향기도 좋고 거품도 잘 나서 좋습니다,3,y,20
항상 쓰던 거라 좋은 가격에 구매해서 기분이 좋아요 향도 좋고 가성비갑,3,y,40
거품 풍부하고 머리카락은 두툼해지는데 두피가 너무 간지럽고 뾰루 지나요 그래서 샴푸 한 번 하고 이걸로 머리 끝쪽만 먹이다 헹궈야 되요,3,n,71
두피에서 냄새가 나기 시작하는데 어쩌지 머리 결은 채워지는 기분이 들긴 해 여트리트먼트랑 같이 사용해야 해 여,3,y,57
가족 모두 꾸준 흐 사용하는 제품이라 언제나 만족도 좋아서 재재 구매합니다,3,y,42
지루성 두피염에 좋다고 해서 일주일 정도 사용해봤는데 잘 모르겠어요 호호바오일 성분 때문인지 트리트먼트를 사용하지 않아도 모발이 차분해지는 건 좋은 거 같아요,3,y,82
리뷰에 좋다고 해서 구매했고 거품은 잘 나오는데 세정을 꼼꼼하게 안 한 탓일까 요저는 두피에 트러블이 조금 생겼고 머리카락이 뻣뻣해서 세정할 때 조금 불편한 점이 있습니다,3,n,92
샴푸 돈 주고 산 거 처음인데 별 차이가 없네요 머리 빠짐도 그대로 고유튜브에 나오던 거랑은 좀 다른 거 같아 용아쉽습니다,3,n,66
다른 분들은 효과 있고 좋다는데 제 두피하고는 안 맞나 봐요 그래도 성분이 좋아서 계속 써보려고 했는데 결국엔 원래 쓰던 걸로 다시 바꿨어요 다른 분들은 샴푸 정착에 성공하시길,3,n,96
친환경이라서 그런지 거품이 적게 나는 거 같아 자꾸 짜서 쓰게 되네요 비듬은 깨끗하게 세척되진 않구요 애들이 쓰는 거랑 착한 성분인 건 좋아요,3,n,75
뽀루지 때문에 구매해 밨는데 효과는 좀 더 사용해봐야 할 거 같고 근데 향은 어떻게 안 되나 요 너무 허브 향이라고 하면 맞나요 쓸 때마다 부담스럽네요,3,n,62
지루성 두피염이 있는 남편을 위해 샀는데 이전에 사용하던 샴푸를 썼을 때보다 두피가 안 좋아졌어요 사람마다 맞는 샴푸가 다른가 봐 요 거품은 잘나요,3,n,82
기대가 너무 컸나바요 마무리감도 저는 잘 안 맞더라구요 큰 기대로 개나샀는데 아마 다른 하나는 지인 분께 선물해야지 싶네요,3,n,75
피부가 예민해서 화학약품이 안 맞으면 간지럽고 한데 아직 사용한지는 얼마 되지 않았지만 괜찮은 것 같아요,3,y,60
성분이 좋다고 해서 샀는데 거품이 부족해요 아직은 가격 대비 좋은지 모르겠어요 더 써봐야 할 거 같아요,3,n,56
아직 사용 안 해봐서 실제 평을 내리기는 어렵지만 믿고 구매해 봅니다 좋은 성분 그리고 좋은 가격 만족합니다 실사용해보고 한 달 후 평가를 내릴께 요기대감은 프로입니다,3,n,92
배송은 빨라요 탈모가 심해서 두피에 자극 없는 샴푸 사용해보려고 구입했어요 도움이 되길,3,y,47
티트리향이 나는데 감고 나니머리가 간지러워 요 몇 번 더 써보고 안 맞음 다른 샴푸로 바꿔야 될 것 같아요,3,n,61
세정력이 강력하지는 않지만 머리가 너무 건조해지지 않아서 만족하면서 사용,3,y,40
성분이 좋은 것 같아서 쓰고 있어 용그런데 용기는 펌프 형식이 훨씬 편해요,3,y,40
거품 풍성하고 향도 시원함도 괜찮구요 가려움은 아직 모르겠는데 한 달 써 보구 재구매할지 결정하려 구요,3,y,51
두피여드름 때문에 구입했는데 머리결이 좀 건조해졌어요 두피에는 자극이 없어서 그 점은 만족합니다,3,y,53
샴푸할 때 거품이 생각보다 많이 나질 않고 금방 가라앉아 버려서 세정이 제대로 되는지 잘 모르겠어요 번으로는 안 되고 번째 샴푸칠할 때 그나마 거품이 생겨 요 머리카락 짧은 사람이 쓰기는 괜찮을지도,3,n,117
반통 정도 썼는데 좀 푸석하고 거품도 잘 안 나고 머리카락이 뻣뻣해졌어요,3,n,38
남편은 두피가 붉고 아들은 간지러워서 머리를 긁으니 이 둘을 위해서 사보았는데요일째인데 잘 모르겠대요 향은 없고 아직까지 그냥 그렇다고 하네요 한 달 뒤에야 결과가 나올 듯 해요,3,n,105
향은 머리도 포전에는 향긋하지만 머리에 바르는 순간 향이 잘 나지 않습니다 거품이야잘 안 나는 건 예상했지만 말리고 나니 모발이 뻣뻣하게 느껴지고 풀이 죽네요 볼륨 죽는 게 제일 맴 찢입니다 흙,3,n,110
지성에 샴푸 잘못 사용하면 트러블 나서 이것저것 사용해보고 있는데 지금 한 주 사용했는데 일단 트러블은 별로 없고 근데 세정력이 약한 건지 보습이 좋은 건지 머리다 말리고 나면 좀 기름지는 느낌인지 들어요,3,y,113
성분이 좋아서 계속 사용하고 있는데 저한테는 좀 안 맞는 것 같아요 그래도 가볍게 사용할 수 있어서 좋은 제품인 것 같습니다,3,y,70
거품은 잘 나는데 세정력이 약한 지 저랑 잘 안 맞는지 두피가 금방 기름지고 염증이 올라와요,3,n,48
년 동안 꾸준히 쓰던 건데 이번에 주문한 통디자인이 바뀐 걸 쓰니 갑자기 트러블이나네요 성분은 바뀐 게 없다는 데 갑자기 왜 이러는지 모르겠어요,3,n,78
용량에 비해 비쌈 근데 화해 어플에서 유해성분 없어서 구입 함 거품 마니나서 좋음,3,y,42
후기가 좋길래 샀지만 그닥 가격 대비에 좋은지 모르겠어요 거품은 잘 나지만 기름덜지고 이런 것도 없고 그래요,3,n,61
세정력이나 거품이 풍성해서 좋으나 두피 헤어라인에 뾰루지나서 사용 중단함,3,n,41
향은 그냥 그렇고 생각보다 거품은 잘나요 근데 아직 크게 좋은 건 모르겠어요,3,n,39
사람마다 차이가 있는데 건성인데 이 샴푸쓰고 비듬이랑 뾰루지 생겼어 요건성 인 사람은 안 맞는 듯 그리고 생각보다 거품이 잘 안나요 근데 남편은 지성인데 샴푸 잘 맞습니다 개인 차이 있음,3,n,105
생각보다 뻑뻑해요 부드러운 느낌이 없어요 거품은 엄청나요,3,n,28
좋은 거 같아 요 꾸준히 사용해 볼 계획입니다,3,y,23
배송 빠르고 좋아요 다음에 또 구매하께여,3,y,23
냄새가 좋지는 않아 요천연이라 세정력은 보통,3,n,19
추천받아서 써봤는데 저는 조금 아쉬웠어요 향은 좋은데 시원한 느낌은 적어요,3,n,42
매번 쓰던 거에요 좋아요,3,y,12
세정력은 좋은데 너무 좋은가 봐요 두피가 조금 건조해요,3,y,29
좋아요 조아 요자 주 시킬게요,3,y,12
괜찮아요 괜찮아요,3,y,13
비건에 포장용기를 신경쓴 점은 만족 아직 사용감은 잘 모르겠어요 그냥 손에서는 거품이 잘 안 나고 머리카락에 물묻혀서 비비면 거품이 확 나다가 문지르면 사라지고양을 많이 사용하게 됩니다,3,y,108
딸 램민 감성 두피라 맞는 샴푸 고르기가 힘드네요 효과 잇기를 바래봅니다,3,n,37
거품은 잘 나오는데 지성의 기름기를 완벽하게 없애주지는 못하네요,3,n,37
순해서 아이가 쓰기에도 좋은 거 같아요,3,y,20
플라스틱 제품을 보내면서 뽁뽁이 하나 안 감고 보내시는 게 이해가 안 됩니다 펌핌하다가 손까지 베었습니다 펌프 새로 보내주셔야 할 거 같습니다,3,n,79
유해한 성분이 없어서 꾸준히 사용,3,y,18
가격대가 아쉽지만 잘 쓰겠습니다,3,y,17
천연인데 생각보다 좀 건 조합니다,3,n,17
쓸수록 두피에 트러블이 생겨요,3,n,16
성분 좋아서 지성용으로 씁니다,3,y,15
기름지긴 하는데 순해서 좋아요,3,y,15
오직 성분 좋아서 구매합니다,3,y,16
성분이 좋아서 꾸준히 재구매,3,y,15
성분이 좋아서 꾸준히 사용 중,3,y,15
향도 괜찮고 거품도 잘나요,3,y,14
가격 대비 좋은 상품입니다,3,y,14
항상 사용하는 샴푸로 다른 상품으로 바꿀 계획 없음,3,y,28
펌퍼열고 나서 안전장치가 없어서 아쉽네요,3,n,22
괜찮네요 마음에 들어요,3,y,11
늘 쓰는 제품이라 쓰긴 햇지만 배송이 무지 느리네요,3,n,27
거품 풍부하니 좋아요 단 머릿결은 뻑뻑,3,n,21
두피용 샴푸 중 성분이 좋다고 해서 사용 중입니다 두 병 짼데 아직은 잘 모르겠어요 좀 더 사용해보고 후기 남겨보겠습니다,3,n,58
거품이 너무 안나요비듬이 생겼어요,3,n,21
기대보다 좋지는 않네요 그냥 무난합니다,3,y,23
두피에 뾰루지나서 샀는데 더 나네요 이유를 모르겠어요,3,n,35
특별히 두피 나 머릿결이 더 좋아진다거나 그런 건 잘 모르겠네요,3,n,33
거품은 풍부한 데 뭔가 뽀득하게 씻긴 느낌이 없어서 아쉬워요,3,n,32
추천받아 구매했는데 아직 탈모 예방방지 효과는 모르겠어요,3,n,30
아직 일주일 사용하고 있는데 요세정력은 좋은 것 같아 요 머리가 간지럽고 해서 구매해봤는데 요 한 달 사용해보고 다시 리뷰쓸게요,3,y,68
생각보다 더 조그만 해요일단 써보고 좋으면 대용량고,3,n,30
뭐 그닥 효과 있지도 않고 없는 거 같지두 않구 그냥 그래요,3,n,30
디렉터 파이가 추천해줘서 사 봤어요 비듬 개선 기대돼 용,3,n,27
지성 두피인 저한테는 세정력이 떨어지는 거 같아요 이거쓰고 머리가 더 떡지는 느낌,3,n,49
지루성 염증에 좋다 해서 사용했는데 가격 대비 별루요,3,n,27
가격이 조금 부담되지만 성분이 좋아서 꾸준히 사용,3,y,27
샴푸는 좋습니다가 켝은 상시 할인하면서 이벤트처럼 표시 안 하는 게 좋을 것 같습니다 한 번씩이라도 진짜 할인을 하던가,3,y,61
성분도 좋고 아이들 사용했는데 순하고 좋았어요,3,y,26
비듬 때문에 사용했는데 그닥잘 모르겠어요,3,n,25
아직 사용 전 상품 성분들이 괜찮아서 기대즌,3,n,25
세정력은 좋으나 머리결은 흠잘 모르겠네요,3,n,25
천연 성분이라 안심되는데 거품은 많지 않아요,3,n,22
건조하지 않고 성분이 좋아서 꾸준히 사용,3,y,22
향도 괜찮고 거품도 좋음린스도미쟝센 슈퍼리치로 같이 씀가 성비젤 좋은 듯,3,y,47
아직 딱 한 번이라 좋아진 건 잘 모르지만 향도 세정력도 좋네요 무엇보다 거품이 잘 나서 좋아요,3,y,54
머리가 좀 많이 빠지고 이마에 트러블이 많이 생기고 뻣뻣해져서 트리트먼트 필수예 요머리 기름도 빨리 생기고 냄새도 나고 각질도 많이 없어 지진 않는 거 같아요 유해성분 없다는 거 하나땜에 안고 갑니다,3,n,113
살짝 뻣뻣한 느낌이 들긴 하네요트린트먼트 해주면 괜찮아요,3,n,31
탈색모입니다 아직 오래 써보진읺아서 단백질 어쩌구가 들어간지는 잘 모르겠지만 잘 들어가 길 빕니다…,3,n,54
근데 그냥 쓸려고 펌핑랬는데 샴푸가 줄줄줄 혹시 펑핑하는 꺄진 부위만 받을 수 있나요,3,n,48
배송 날짜맨날 틀리게 오네요 그리구 요 상품은 제가 쓰는 제품이라서 할 말은 없구요,3,n,37
아직 사용 전인데 뚜껑이 빠진 채로 배송됐네요,3,n,26
주문이 잘못 배송되었지만 바로 처리해 주신 점에 대해 감사합니다 그러나 제이숲 원래 헤어팩 워터글로우 워터팩 등 많은 제품을 써보아서 믿고 여러 개 구매했는데 샴푸 트리트먼트는 생각보다 저에게는 많은 도움를 주지 못했던 것 같습니다 샴푸는 그나마 괜찮은데 트리트먼트 하나로 머리결이 부드러워지는 정도는 아니고 꼭 후에 워터트리트먼트해줘야 조금 머리결이 나아지는 느낌이 들었습니다 괜히 많이 시켜서 후회 중입니다,3,n,241
향도 괜찮고 거품도 많네요 머릿결 개선은 잘 모르겠습니다바디도 같은향이라 좋아요,3,y,48
일단 향은 괜찮았고 거품도 풍부했어요 하지만 머릿결이 좋아지는 건 모르겠어요 많이 써보진 않았지만 헹구고 나서 머리만져보면 다른 샴푸 썼을 때보다 뭔가 푸석푸석한 느낌이에 요린스도 같이 써봤는데 린스가 많이 쫀쫀한 편인데 부드러워진다는 느낌이 별로 없네요,3,y,146
앞전에 하나를 성심성의껏 적었기 때문에 이번 리뷰는 요약하겠음일랑일랑 샀 음향이 은은함 나쁘지 않음 기본적으로 비건 샴푸이기 때문에 강한 향이 있기 힘듦자라나는 청소년 친구들 머리 제대로 감기면 섬유유연제 마냥 향긋할 것임,3,y,123
좋다고 추천받아 구매했어요급해서 주문했는데 배송 과정의 문제겠죠 저렇게 꼭지가 깨져서 와서 질문 요청 드렸는데 답도 없고 급하긴 하고 해서 그냥 씁니다 아직 많이 사용해보지 않아서 정확한 평가는 어렵습니다,3,n,133
생각보다 물미역처럼 머리가 미끌해지지는 않네요 향은 은은하니 좋은데 트리트먼트 쓰기 귀찮아서 사봤는데 그냥 보통 샴푸 같아 요세정력도 쏘쏘향도 쏘쏘 헤어플러스 에센스는 좋아서 잘 쓰고 있는데 샴푸는 그냥 그래요 단백질이라도 잘 스며들길,3,n,132
다른 단백질 샴푸 사용하다가 이번엔 헤어플러스로 바꿔봤는데 가격은 더 저렴하긴 한데 결과는 어떨지는 잘 오늘 샴푸만 사용했을 때 부드럽다는 느낌은 그 닥제가 뿌염을 주마다 한답니 다 트릿먼트는 웬만함 다 부드럽기 때문에 계속 사용해보고 알아봐 얄듯여,3,n,134
샴푸는 항상 쓰던 거라 괜찮은데 배송이 아쉽습니다 샴푸 입구가 첨부 사진처럼 부서져서 왔습니다샴푸를 다 써가는 시점에 구매한 거라 교환받긴 힘들 거 같아 리뷰로나마 남깁니다 앞으로 상품 검수와 배송에 신경 써주시면 감사하겠습니다,3,y,125
저는 얼마 전 매직펌 후 머릿결이 너무 상해서 샴푸를 바꿔봤어요 거품은 쫀득하니 풍부하게 잘 났어요 근데 단백질 샴푸라고 너무 기대해서인지 드라마틱한 변화는 모르겠어요 며칠 더 사용해보고 좋은지 어떤 지 지켜봐야 할 듯합니다사은품으로 주신 샴푸는 갯수가 많아서 좋네요,3,n,156
거품은 많아서 만족하는데 머리결이 좋아졌는지는 좀 더 써봐야 알 것 같아 요트린트먼트도 함께 사용해보고 싶다는 욕심이 있네요 향은 미용실에서 맡아본 느낌이 드네요 머리결이 좋아지길 기대해보고 싶어요 조만간 트린트먼트 구매해 볼께요,3,y,121
샴푸랑 트리트먼트 통씩 야무지게 잘 사용했어요 샴푸는 다 만족스러운데 기분 탓인지 모르겠는데 예전 타사 제품보다 왠지 모르게 머리떡지는 시간이 빨라진 것 같은 느낌이 조금 들어요 그 거 외에는 전체적으로 만족스러웠고 트리트먼트는 특별하게 나쁘지도 좋지도 않았던 제품입니다,3,y,162
쓰던 샴푼데 부드럽고 좋아서 샀어요 판매자님 잘못은 아니고 택배가 헬이었어요월일날 주문했는데 아무리 연말인 것 감안해도 월일날 받았어요 물건이 동루트를 보니 허브를 몇 군데를 거쳐서 온 거보니 이동 자체가 잘못된 거 같은데 여유롭게 시키길 잘했어요,3,n,142
모발이 부드러워서 착 달라붙어서 부풀려 드라이하기가 바쁘네요,3,y,34
샴푸는 좋은 것 같은데 터져서 와서 기분이 좀 나쁘네요 뚜껑이 열려 있어서 꾸덕한 게 아니라 원래 꾸덕한 거겠죠,3,n,59
단백질 앰플을 주문한다는 게 잘못했어요 그래도 평이 좋아 써보려고요,3,n,36
아직 머릿결이 확 좋아진지는 모르겠지만 전에 쓰던 샴푸보다는 부드러워요,3,y,39
싸게 사서 잘 사용 중이애 요엄청 좋은 과는 못 봤지만 만족해요,3,y,36
단백질 샴푸라고 해서 사봤네요양이 맣아서 우선 만족함다,3,y,30
그닥 한 번 사용해봤는데 뭘 알겠어요 한 달 사용 후기 잘 써보겠습니다사은품이 꽤 크네요,3,n,45
후기가 좋아서 구매했어요 아직 사용 전 이에 여,3,n,25
거품이 풍부하고 세척력은 좋은 것 같아요,3,y,19
생각보다 큰 효과는 없는 듯해요,3,n,19
머릿결이 좋아질 걸 기대해 봅니다,3,n,16
아직 안 써봤어요 잘 쓸게요,3,n,15
용량도 크고 좋습니다,3,y,10
그냥 저냥 괜찮아요,3,y,10
기대를 많이 해서 그런지 일반 샴푸랑 비슷한 것 같네요 푸석함은 조금 덜한 것 같네요 거품은 풍부하고 향도 무난하네요,3,y,63
배송도 빠르고 가격도 좋고 구성품도 만족스러워요,3,y,29
풍부한 거품에 세정력도 좋아요머릿결이 탄력이 있고 좋아요,3,y,32
좋아 좋아 샘플도 많고 좋아요,3,y,16
향도 좋고 나쁜 성분이 많은 게 아니라서 좋고 파워 용량이라 좋아요,3,y,31
솔직히 잘 모르겠어요 더운 날 목욕하자니 귀찮아서 트리트먼트 안 할려고 산 건데 하게 되네요,3,n,40
미사용인데 상품평 좋아 처음 주문했어요 머리카락이 너무 손상됐는데 기대해 봅니다,3,n,45
꾸준히 써봐야 알겠지만 모발 손상이 좀 덜한 것 같다는 느낌이 들어요,3,y,40
세정력은 약한 거 같아서 두 번 감아요 성분이 좋고 거품이 풍부한 점은 만족합니다,3,y,41
제품은 워낙 써봤던 상품이고 펌프가 잘 안 잠궈졌는지 꽤 새서 배송 왔어요잘 확인해주세요,3,n,56
와대 박사은 품 엄청 많이 주셔서 항상 쓰는 제품 새로 출시한 장미향 다 쓰고 이번엔 원조제품으로,3,y,52
두피에 신경을 많이 신경 쓰는 편이라 성분이 좋다고 해서 주문했는데 거품이 정말 안나서 두피다바르기도 전에 소멸되어 이게 감기는 건지 잘 모르겠어요 트리트먼트를 쓰는 데도 머리 말리고 나면 정말 머리가 파우더리한 느낌하지만 며칠 사용 안 해봤는데 머릿결이 좋아지고 두피 가려움이 줄었어요,3,y,159
최근 들어 두피가 가렵고 뾰루지가 생겼는데 이 샴푸 사용 후 가려움증이 많이 사라졌어요 뾰루지도 많이 사라져서 진정에도 좋아요 다만 머리가 엄청뻣뻣해져요제머리가 긴 편인데 헹굴 때 머리카락이 너무 뻣뻣해서 손끝으로 두피를 문지를 수가 없어요 대충 물로 거품만 없애고 트리트먼트 후에 두피 문지르면서 헹구고 있어 요성분 진정에 좋아서 맘에 드는데 머리뻣뻣함이 너무 심해서 재구매할지는 많이 고민해봐야겠어요 헹구다가 머리다 빠질 것 같아 요긴 머리에는 추천 안드립니다,3,n,243
머릿결에 영향이 풍부한 샴푸나 탈모방지 샴푸를 썼더니 자주 두피에 뾰루지 같은 게 생기더라고 요 검색하고 검색 끝에 주문했어요 번갈아 쓰던 샴푸를 안 쓰고 일동안 하루에 한 번 이샴푸로 감았으나 아직 뾰루지가 가라앉거나 차도가 있진 않았고 무향이었으며 거품은 풍성 간지러워서 한 번씩 머리에 손이 가는 건 여전한 듯해요 더 써봐야겠지만 머리가 가려워 손이 가는 이상재 구매는 고민해봐야겠어요,3,n,210
전건성 두피에 민감성이라 두피에 트러블이 자주나요 그래서 트러블에 좋다는 평을 듣고 구입했어요 일주일 정도 사용한 결과 트러블은 좋아지는지 모르겠고 처음엔 괜찮았는데 요즘은 머리감은 후두피가 가려워 요 머리도 떡진 것처럼 묵직하고요 그렇다고 떡이 진건 아니예 요머리를 항상 두 번씩 세정하는데 세정력이 좋은지 잘 모르겠네요 신랑은 지루성 두피에 아토피가 있어 트러블이 심한데 아직까진 신랑도 변화가 눈에 보이진 않네요 좀 더 써봐야 알겠지만 아직까진 평에 비해 만족스 럽진 않아요,3,n,264
피지 과다로 인한 두피 염증 있는 남성이 사용하고 있습니다숱이 많아서 그런지 나쁘진 않지만 아직은 눈에 띄게 개선된 느낌은 없어요 단지나 빠지진 않았습니다 약이 아니다 보니 급격한 변화는 없는 거 같고 성분이 좋으니 좀 더 써봐야 할 것 같네요,3,n,133
성분 좋은 샴푸 써야겠다 하고 초반에 이샴푸 썼다가 한번 사고 안 샀었거든요 왜 그랬지 기억이 안 났었는데 용기 바뀌고 다시 써보니 기억이 났습니다 거품이 너무 적아서 안 씻는 기분입니 다 이제 성분 좋은 샴푸개쯤 써봐서 거품 잘 안 나는 거 익숙한데도 애벌샴푸도 하고 해도 부족하네요 두피에는 잘 맞는 것 같습니다,3,n,166
뭔가 용기 바뀌면서 내용물이 좀 바뀐 것 같아요 두피가 많이 예민해서 인생 샴푸 찾았다 생각했었는데 이제 뭔가 제형도 너무 되직하고 하루도 못 가서 기름기가 올라오는 듯하고 애벌샴푸를 해도 거품이 안나 요 세정력도 좀 줄어든 것 같구요 다시 안 쓸 것 같아요 개인적인 견해입니다,3,n,158
비닐 벗기니까 아예 민자통이 돼버려서 당황했어요 각질 나오는 건 좋아진 거 같은데 트리트먼트 안 쓰면 머리가 뻣뻣해 요 거품도 제 기준엔 좀 부족해서 한 번 더 펌핑하게 되고요 그래도 각질 감소에 계속 효과가 있다면 좀 더 써볼 상각이에요,3,n,123
화해 어플에서 인기 좋은 걸 골라 산 건데 아직 뭐가 좋은지 모르겠어요 저녁에 머리 감고 말린 다음 바로 자는데 다음날 저녁쯤부터 머리가 너무 가려워 요 절대 이틀을 버틸 수 없는 머리가 되서 귀차니즘을 이기네 요 머리 속에 뭐가 나는 것도 똑같고 아직 확실한 효과는 모르겠어요,3,n,148
호르몬 주기에 따라 두피에 뭐가 나서 구매해봤어요 이 제품을 써도 호르몬 주기에 따라서 두피에 뭐가 났어요 두피 냄새도 효과를 잘 모르겠어요 평소에 쓰던 샴푸보다 가격대가 있는데 효과도 딱히 못 봤으니 재구매는 안 할 것 같아요 거품은 풍성하게 납니다,3,n,143
거품도 잘 나고 하는데 깨끗이 씻기는 느낌이 없어요 뽀드득한 느낌이 덜해요 그리고 전에 쓰던 샴푸보다 더 금방 기름지구 요원래 일안감아도 기름 안졌는데 이건 하루만 안감아도 기름져요 성분이 좋은 거 같아서 구매했는데 사용 후 만족감은 덜하네요,3,n,132
내용물이 샜어 요 기존에 쓰던 샴푸라 기능은 만족하고 반품하기 번거로워서 구매 확정했어요 새어나간 게 아깝지만 그냥 쓸게요 다음부턴 포장에 신경 써주세요,3,n,87
써온 샴푸 중에 좋아서 계속 쓰고 있습니다만 이번엔 배송이 좀 꽤 안 좋았습니다 줄줄 새더라구요 조이는 목부터 새고그러던데요 불량인 듯해 보이더라구 요 포장에 신경을 써주세요예전엔 안 그랬는데 점점 포장이 좀,3,n,120
주변에서 추천이 있어서 구매했어요 이전의 묽은 제형 제품을 쓰다가 이 제품은 묵직함이 있어서 두 번째 사용할 때는 손에 샴푸를 덜어서 문질문질해주니 묵직함이 연해지더라구요일 단 좀 써보고 또 후기 남길게요,3,n,114
판매자님 사은품까지 챙겨주시고 너무 감사한데 검수는 좀 더 신경 써주세요박스 안에 내용물이 새어 나와서 깜짝 놀랐습니다,3,n,70
항상 재구매해 해서 사용 중인데요 이번 배송은 종이 방충재가 들어있지 않아 펌프 부분에 내용물이 흘러왔어요심하지 않아 그냥 사용하려고 하나 포장신경 써주세요,3,n,88
아직 샴푸가 남아 있어서 사용해 보진 못했어요 디파님의 추천으로 구매하였구 다른 곳보다 저렴하게 구매했는데 좋은 제품만나서 사용감도 좋길 바랍니다,3,n,77
좋은 얘기가 있으면 쓴소리도 받아들이셔야 죠 좋다고 해서 사봤는데 일단 거품이 진짜 안 나고요 이 거 머리에 다가 쓰면은 머리 빳빳해져요 그래서 되게 별로인데 제가 지금 일째 사용 중이거든요제가 두피에 뾰루지가 많이 있는데 이게 없어지는지 안 없어지는데 한 달 사용 리뷰로 다시 돌아와 볼께 요일 단 거품 잘 안나고 머리뻣뻣해져서 이 두 개가지고는 걸로는 추천하고 싶지는 않음 일단은 그럼 그리고 왜 제꺼펌프 고장 났어요,3,n,238
염색 후 새로 산이 샴푸로 머리를 감는데린스한 것처럼 엄청 거품이 부드럽게 손가락 사이사이로 느껴지네요 트리트먼트는 따로 사용하지 않고 마무리할 정도로 굿입니다트리트먼트 살비용 아껴서 샴푸 하나 더 살래요,3,y,120
두피는 건성 타입으로 이틀에 한 번 머리감을 때까지 기름이 지진 않아 요근데 요즘 두피가 따끔거리고 열이 오르는 느낌에 머리카락도 엄청 빠져서 알아보다가 사게 되었어요 확실히 샴푸 양도 극소량 인 원 크기만큼 써도 펌프질 회약하게 거품 양도 많고 두 차례 정도감으니 증상은 싹 사라졌네요 효과 좋아요 다만 머리카락은 엄청뻣뻣해지 니트리트먼트와 헤어 에센스 필수예요,3,y,200
왜 제 꺼만이 지경으로 왔죠 한 개만 시켰을 때는 펌프 따로던데펌프채로 와도배송이 너무 하네요 진득 거리네 요 상품에 이상은 없겠지만 씻어보니 한 개는 양이 좀 사라졌네요헛한 개짜리 써보고 괜찮아서 개짜리 샀는데 담에도 저러면 어쩌지요,3,n,128
몇 번 써보지 않았어서 효과는 잘 모르겠어요 대용량으로 구매했다가 아니다 싶음난감할 듯하여 샘플로 몇 개 구매하고 조타면 대용량 구매할까 합니다,3,n,69
일주일 정도 사용했는데 거품이 잘 나서 좋아요,3,y,29
머리결이 좋아 요세정력은 아쉽지만요,3,n,20
향 좋쿠요 머리결도 좋아요,3,y,12
세정력은 좋은 것 같은데 머릿결이 좋아지는지는 잘 모르겠어요,3,y,33
빠른 배송 조아요조아요,3,y,11
거품은 엄청 많이는 아니구요물을 좀 뭍히면 좀 많아지네요 먼가 단백질 샴푸라서 그런가고 농축된 느낌이에요 머릿결이 좋아지길 바래 봄니당,3,y,67
세정력은 잘 모르겠어요먼 가기름기가 남은 듯한 느낌이 있드라구 요엄청 헹구어도 그래서 원래 그런가보다 하고 좀 더 써보려구요,3,n,63
솔직히 리뷰가 많고 구성이 좋아샀습니다 오늘 바로 써봤는데 아직은 잘 모르겠네요 한 달 후기 올릴께요,3,n,55
딸이 원해서 행사할 때 주문해서 잘 쓰고 있어요 전두피 샴푸 쓰고 가끔 사용하는데 지성 두피라 그런지 제가 쓰기엔 좀 기름진 느낌 거품은 엄청 잘 나고고와요,3,y,90
쓰던 샴푸가 있어서 다 쓰고 쓰려고향만 맡아봤네요가벼운 신선한 과일향이에요 성분들이 일단 착하고 정수리 냄새를 커버하기 위해 퍼퓸 샴푸를 검색하다 알게 된 제품인데 써보고 다시 후기 남길 예정입니다 마음에 들면 이샴푸로 갈아탈 듯 싶네요,3,n,132
